origin_zone,destination_zone,month,shipments,charged_weight,basic_freight,total_freight,vas_freight,avg_shipment_base_yield,avg_shipment_total_yield,base_yield,total_yield,vas_yield,yield_uplift,avg_weight_per_shipment,weight_share_pct,basic_freight_share_pct,total_freight_share_pct,base_yield_mom_abs,base_yield_mom_pct,total_yield_mom_abs,total_yield_mom_pct,vas_yield_mom_abs,vas_yield_mom_pct,charged_weight_mom_abs,charged_weight_mom_pct,shipments_mom_abs,shipments_mom_pct
NORTH ZONE RO,NORTH ZONE RO,April,64,24160.0,167236.5,216892.61,49656.11,7.6203125,12.544445994569687,6.9220405629139075,8.977343129139072,2.0553025662251656,2.0553025662251647,377.5,0.07711224904450552,0.05194942661948089,0.053549097789645776,,,,,,,,,,
NORTH ZONE RO,NORTH ZONE RO,May,49,43461.0,206741.0,269924.26,63183.26,6.465918367346938,10.069573055055876,4.756931501806217,6.210723637284002,1.4537921354777847,1.4537921354777854,886.9591836734694,0.1387158715117241,0.0642208872389586,0.06664219954076707,-2.1651090611076906,-31.278479827287587,-2.76661949185507,-30.817798228910842,-0.6015104307473809,-29.26627157636134,19301.0,79.88824503311258,-15.0,-23.4375
NORTH ZONE RO,NORTH ZONE RO,June,35,38050.0,209183.1,271623.61,62440.51,6.58875920800511,10.118099489098407,5.497584756898817,7.138596846254927,1.6410120893561104,1.64101208935611,1087.142857142857,0.12144540878077131,0.06497948775228812,0.06706175583329743,0.7406532550926004,15.569979403978651,0.927873208970925,14.939856660192518,0.18721995387832568,12.878041455135287,-5411.0,-12.450242746370309,-14.0,-28.571428571428573
NORTH ZONE RO,NORTH ZONE RO,July,50,61320.0,276274.45,319375.42,43100.97,5.745,8.52045443384013,4.505454174820613,5.208340182648402,0.7028860078277887,0.7028860078277885,1226.4,0.1957170162007069,0.08582037573802634,0.07885130617031715,-0.9921305820782038,-18.046662779199494,-1.9302566636065253,-27.03972090284357,-0.9381260815283218,-57.16753018537588,23270.0,61.156373193166885,15.0,42.857142857142854
NORTH ZONE RO,EAST ZONE RO,April,940,723453.1,6268201.31,7803323.55,1535122.24,9.290327267544534,13.7606929061902,8.66428149938123,10.786218968444533,2.121937469063302,2.121937469063303,769.6309574468085,2.3090685272855778,1.9471195820887126,1.9265798676275592,,,,,,,,,,
NORTH ZONE RO,EAST ZONE RO,May,945,677557.75,5897133.17,7526038.88,1628905.71,9.334043635376629,15.021868889349653,8.703513715251578,11.107597662339483,2.404083947087905,2.404083947087905,716.992328042328,2.1625828625842223,1.831853015820241,1.8581204401283942,0.03923221587034753,0.4528040308148961,0.32137869389494966,2.979530592093063,0.282146478024603,13.296644323319878,-45895.34999999998,-6.343928860073995,5.0,0.5319148936170213
NORTH ZONE RO,EAST ZONE RO,June,912,637447.318,5675562.7,7272253.95,1596691.25,9.226323760675966,14.34462484564878,8.903579228801462,11.408399948746824,2.504820719945362,2.5048207199453625,698.9553925438596,2.0345611067205343,1.7630255835772266,1.7954629155861408,0.2000655135498839,2.298675225837809,0.3008022864073414,2.7080768997171836,0.10073677285745708,4.190235244467262,-40110.43200000003,-5.919854359277867,-33.0,-3.492063492063492
NORTH ZONE RO,EAST ZONE RO,July,1048,712638.0,5999990.19,7490478.47,1490488.28,9.0292932453081,13.205201240954755,8.419408156735958,10.510916440043893,2.0915082833079346,2.0915082833079346,679.9980916030535,2.274549624775593,1.8638039548364753,1.84934085159133,-0.4841710720655037,-5.437937481359162,-0.8974835087029316,-7.866865754487485,-0.41331243663742745,-16.500679403771585,75190.68200000003,11.795591553496823,136.0,14.912280701754385
NORTH ZONE RO,WEST ZONE RO,April,1,2400.0,18480.0,20000.0,1520.0,7.7,8.333333333333334,7.7,8.333333333333334,0.6333333333333333,0.6333333333333337,2400.0,0.0076601571898515415,0.005740525566655646,0.004937844382032728,,,,,,,,,,
NORTH ZONE RO,WEST ZONE RO,May,10,28968.0,181699.6,200276.6,18577.0,7.656999999999999,9.231413437426932,6.272424744545706,6.91371858602596,0.641293841480254,0.6412938414802536,2896.8,0.09245809728150811,0.056442164461639834,0.04944673420813079,-1.4275752554542942,-18.5399383825233,-1.4196147473073744,-17.035376967688492,0.00796050814692073,1.2569223389874837,26568.0,1107.0,9.0,900.0
